documento,candidatoId,resultado,tiempo_ms
309884552,0,0,830,52
710623238,1,0,42,16
318222880,2,0,30,21
808206515,0,0,30,95
274701757,1,0,26,71
274373966,2,0,54,48
927627528,0,0,28,11
238559316,1,0,40,09
980592433,2,0,47,23
975569656,0,0,40,45
163912269,1,0,47,58
818240862,2,0,41,63
607822781,0,0,28,05
358299222,1,0,25,71
497896870,2,0,28,37
858636615,0,0,42,98
384546244,1,0,53,31
115574119,2,0,43,92
612770545,0,0,46,89
615087318,1,0,50,87
432787407,2,0,39,88
496698388,0,0,41,90
765547534,1,0,43,12
858761058,2,0,43,71
645090541,0,0,43,14
668267326,1,0,48,26
296979129,2,0,39,69
875594468,0,0,47,50
144500280,1,0,43,57
889519449,2,0,58,98
615625155,0,0,39,02
472998502,1,0,38,58
287590598,2,0,64,38
278315026,0,0,55,14
565011404,1,0,53,60
729348912,2,0,42,11
889611439,0,0,40,74
921447986,1,0,46,27
960059261,2,0,42,96
103181258,0,0,84,00
666458534,1,0,48,47
687118105,2,0,41,30
270264775,0,0,42,00
83955608,1,0,44,86
180180735,2,0,44,23
227687749,0,0,47,05
177538914,1,0,43,43
526722153,2,0,41,38
689862615,0,0,42,77
312098132,1,0,51,84
850216437,2,0,54,91
757245522,0,0,44,74
327688918,1,0,360,48
603563971,2,0,149,63
675160523,0,0,34,63
715915270,1,0,40,21
710051439,2,0,39,06
744797418,0,0,80,57
692984102,1,0,44,96
946549606,2,0,40,83
692338284,0,0,65,62
204484268,1,0,40,75
734633490,2,0,49,30
905139986,0,0,40,70
698961389,1,0,48,06
993543812,2,0,42,68
477607375,0,0,47,18
206861351,1,0,46,14
571931913,2,0,39,70
916096396,0,0,42,71
441421401,1,0,54,88
694581521,2,0,43,95
653331341,0,0,44,08
216729054,1,0,42,83
619919498,2,0,45,57
843069077,0,0,51,41
741888947,1,0,44,97
733857634,2,0,47,59
114249234,0,0,43,08
782421341,1,0,42,79
154581638,2,0,42,42
479246723,0,0,43,28
705914280,1,0,49,73
234393362,2,0,41,85
378311910,0,0,50,15
579834290,1,0,43,12
207453752,2,0,47,60
417846085,0,0,45,88
291598776,1,0,43,63
923273853,2,0,40,49
422238069,0,0,50,64
851112307,1,0,42,74
335109847,2,0,40,52
864070547,0,0,45,96
364334421,1,0,40,98
802978274,2,0,62,91
535860585,0,0,38,89
476710046,1,0,51,69
660193694,2,0,56,70
549811820,0,0,27,21
354283020,1,0,41,77
541807801,2,0,44,66
964960837,0,0,48,64
692623413,1,0,45,19
862603318,2,0,44,65
703450323,0,0,48,56
206893086,1,0,51,22
858022582,2,0,260,25
832876646,0,0,268,96
516979687,1,0,48,18
903691932,2,0,42,80
342527256,0,0,42,78
620513692,1,0,49,84
817368368,2,0,47,87
576229279,0,0,42,89
332200016,1,0,43,74
754206303,2,0,46,46
265628771,0,0,45,41
598085443,1,0,51,40
191785295,2,0,47,95
577952522,0,0,40,99
393653688,1,0,41,07
801049708,2,0,45,79
456760488,0,0,49,02
825233231,1,0,41,66
293306504,2,0,42,31
655041167,0,0,39,97
635605094,1,0,42,72
837235126,2,0,47,56
587906508,0,0,44,29
568958691,1,0,39,12
538536449,2,0,42,07
456214668,0,0,28,96
869263161,1,0,53,17
180379712,2,0,44,32
602287234,0,0,51,89
781804054,1,0,43,20
771784494,2,0,50,65
756844363,0,0,56,65
929420755,1,0,43,39
436541487,2,0,70,60
273624104,0,0,43,63
737488988,1,0,46,36
334949044,2,0,47,73
597465114,0,0,46,90
380168867,1,0,47,22
504018811,2,0,38,98
543289466,0,0,41,86
475783035,1,0,38,90
19398567,2,0,43,21
180953390,0,0,42,37
313805238,1,0,42,49
289092376,2,0,46,36
872853978,0,0,47,64
257841166,1,0,43,34
745859123,2,0,43,29
709942570,0,0,46,48
436654281,1,0,40,60
416226813,2,0,46,32
121063746,0,0,51,40
514732351,1,0,74,48
452319501,2,0,59,16
670989943,0,0,48,46
380584579,1,0,51,66
689268977,2,0,39,22
568833161,0,0,42,23
277874270,1,0,51,52
104623404,2,0,44,38
327997888,0,0,56,38
518183517,1,0,47,83
697219871,2,0,61,21
943445280,0,0,58,92
529223094,1,0,34,22
148132750,2,0,40,70
824344342,0,0,41,34
446884344,1,0,42,90
399552343,2,0,27,00
726647961,0,0,55,19
474351902,1,0,43,83
719442545,2,0,39,33
953155489,0,0,48,69
282537177,1,0,51,61
434792096,2,0,50,96
353815317,0,0,47,04
795430099,1,0,42,13
816769278,2,0,43,52
691698998,0,0,43,41
979870825,1,0,45,14
722046065,2,0,41,55
875311403,0,0,47,23
176778728,1,0,42,27
495819321,2,0,41,06
944391769,0,0,42,05
961666856,1,0,100,26
912666718,2,0,47,30
526968363,0,0,48,71
414544818,1,0,45,43
534250684,2,0,48,16
967567106,0,0,44,11
548919802,1,0,43,76
431116656,2,0,42,61
264995313,0,0,62,34
494060644,1,0,38,56
747121355,2,0,61,81
850478259,0,0,42,45
565174624,1,0,44,29
962729287,2,0,46,03
852355502,0,0,40,20
180612531,1,0,45,38
184452581,2,0,45,70
304216144,0,0,43,86
274633893,1,0,40,47
240269329,2,0,48,30
121336507,0,0,50,17
805920737,1,0,46,16
355098424,2,0,44,28
978464452,0,0,51,02
688700295,1,0,42,41
663922433,2,0,49,93
778912681,0,0,47,68
518615583,1,0,41,83
996080284,2,0,42,48
181118825,0,0,48,44
471535488,1,0,43,39
562529937,2,0,50,99
288567761,0,0,39,15
421511998,1,0,43,27
986747555,2,0,44,33
573055582,0,0,51,33
622709349,1,0,58,71
529101400,2,0,43,22
712530418,0,0,39,59
796147054,1,0,52,34
74748128,2,0,38,33
977158376,0,0,42,79
718646151,1,0,47,36
316555760,2,0,42,92
917786997,0,0,45,84
506203299,1,0,47,68
758580379,2,0,40,21
465977854,0,0,43,37
433261365,1,0,41,79
242075911,2,0,40,59
191725413,0,0,48,25
784634644,1,0,43,84
271490375,2,0,45,74
792128843,0,0,55,83
947845153,1,0,40,39
302295392,2,0,46,93
333163603,0,0,40,63
691641059,1,0,73,18
631996647,2,0,28,10
370237271,0,0,42,76
966526052,1,0,38,22
54639691,2,0,47,17
303136038,0,0,45,91
869998846,1,0,44,53
815923158,2,0,43,76
658170372,0,0,37,22
384685407,1,0,45,90
146817077,2,0,48,91
931393769,0,0,42,78
481679773,1,0,44,02
194075272,2,0,43,00
719994017,0,0,47,98
206023874,1,0,38,49
986278866,2,0,57,01
180289907,0,0,41,50
437000757,1,0,44,61
978977382,2,0,39,88
504849854,0,0,42,78
236653592,1,0,54,48
565389109,2,0,58,77
443094944,0,0,47,92
892383612,1,0,42,44
655088188,2,0,45,07
77870099,0,0,51,29
297365163,1,0,45,28
690420020,2,0,49,59
958469411,0,0,43,91
936093405,1,0,43,79
404075073,2,0,49,66
496302292,0,0,45,22
869515708,1,0,48,63
381038233,2,0,40,51
943600111,0,0,44,20
868425531,1,0,48,27
516640548,2,0,43,95
728907699,0,0,46,24
261497236,1,0,47,41
715217906,2,0,49,95
563676061,0,0,45,99
908228334,1,0,39,08
738516357,2,0,46,04
265403531,0,0,92,70
340539028,1,0,48,02
853209200,2,0,42,25
405209109,0,0,43,25
155856848,1,0,48,47
272830463,2,0,65,33
606413239,0,0,43,01
788215112,1,0,40,23
777649195,2,0,38,83
773325930,0,0,45,52
741062806,1,0,45,21
683559533,2,0,41,83
177453175,0,0,48,45
162643241,1,0,45,49
604844978,2,0,44,07
335650983,0,0,43,20
938278287,1,0,48,05
369555391,2,0,39,50
163158977,0,0,49,21
504013072,1,0,35,89
886812989,2,0,41,93
152264170,0,0,48,24
292278960,1,0,44,33
722016217,2,0,77,94
726264568,0,0,42,69
823454660,1,0,37,61
679779099,2,0,42,23
628769952,0,0,43,17
742744099,1,0,39,59
